time files tags foundfiles numtags
0.390176 91059 1274 0 4
0.171472 91869 1275 676 1
0.077471 92042 1276 0 2
0.197827 92958 1279 657 1
0.208951 93085 1281 652 1
0.164833 93145 1282 0 5
0.88357 93163 1283 4 2
0.850565 93224 1285 4 2
0.915541 94738 1286 5 2
0.179344 95708 1291 0 8
0.539088 95937 1294 3 2
0.025148 97175 1298 0 6
1.01539 97343 1299 6 2
0.025628 3921 1014 0 9
0.044905 5908 1019 0 6
0.020895 8917 1024 77 1
0.033285 10074 1025 88 1
0.116859 11225 1028 0 3
0.129845 14508 1036 0 3
0.123951 14920 1039 0 5
0.105464 15034 1040 0 8
0.114392 16378 1044 0 3
0.143154 16885 1046 0 3
0.110676 17070 1047 0 7
0.135497 19396 1056 0 8
0.044955 20443 1060 128 1
0.170909 21123 1063 0 4
0.203918 22559 1070 2 2
0.210201 24112 1077 0 2
0.247354 29812 1093 0 2
0.063583 30838 1097 0 6
0.078654 32446 1104 234 1
0.267483 32448 1105 0 3
0.210476 32887 1108 0 4
0.054387 34587 1113 0 7
0.013595 39133 1123 0 3
0.27342 39507 1124 0 5
0.029915 40477 1126 0 9
0.254574 41387 1130 0 4
0.113809 41769 1131 0 7
0.15335 44745 1141 0 3
0.299693 47895 1150 0 4
0.199577 47969 1151 0 9
0.14489 49343 1152 0 5
0.101569 49970 1155 392 1
0.117246 49987 1156 350 1
0.052478 50417 1158 0 4
0.113546 50646 1159 0 3
0.141328 50961 1162 395 1
0.27823 52067 1166 0 3
0.057434 52114 1167 194 1
0.288245 52587 1169 2 2
0.103152 54797 1178 421 1
0.29748 56230 1182 0 5
0.627308 56607 1183 0 2
0.068953 56637 1184 0 9
0.626461 57082 1186 3 2
0.491854 57870 1190 5 2
0.302391 58494 1192 0 5
0.632219 60311 1195 0 3
0.357638 64007 1205 6 2
0.118148 66499 1211 461 1
0.083371 66576 1212 0 8
0.374192 68664 1217 0 6
0.042485 72383 1224 0 5
0.143646 73884 1227 486 1
0.404348 74248 1230 0 6
0.145715 75224 1232 519 1
0.178754 75315 1233 0 4
0.332054 75889 1235 2 2
0.129138 77218 1238 554 1
0.14589 78225 1241 0 4
0.138601 79512 1247 506 1
0.094094 83063 1256 0 4
0.142212 83847 1259 596 1
0.275814 83872 1260 0 7
0.4392 84486 1263 2 2
0.187864 86393 1269 620 1
0.139943 87284 1274 0 4
0.201909 89432 1280 4 2
0.617291 91509 1287 3 2
0.841563 93127 1292 0 3
0.01934 94302 1297 0 4
0.011674 95738 1301 0 7
0.794867 95995 1303 6 2
0.297938 97329 1305 3 2
0.621524 98163 1307 5 2
0.012742 1765 1021 0 2
0.02986 2441 1032 0 4
0.018022 2693 1039 0 7
0.023495 2874 1043 0 3
0.010753 3343 1051 0 5
0.026081 3346 1052 0 2
0.017469 3418 1054 41 1
0.04989 6079 1094 0 3
0.047511 6490 1101 0 5
0.050165 7187 1112 0 7
0.058254 9548 1152 0 8
0.052427 9815 1156 0 4
0.033049 10355 1167 0 5
0.026071 11750 1181 0 7
0.097096 13380 1211 0 2
0.035866 13715 1217 101 1
0.091595 15012 1234 0 4
0.055375 15965 1243 0 4
0.019992 16622 1257 0 5
0.045577 18230 1287 0 3
0.176597 18576 1295 3 2
0.194016 18813 1301 0 2
0.046362 19994 1317 0 11
0.018036 21606 1342 0 8
0.007356 21949 1348 0 4
0.198522 22902 1360 2 2
0.076891 23350 1365 0 3
0.039599 23637 1371 0 3
0.063537 25893 1403 0 2
0.303467 25924 1406 0 3
0.042982 25947 1407 0 9
0.128802 26185 1414 1 2
0.023429 26380 1415 0 9
0.076105 27043 1423 0 8
0.07986 28527 1443 0 5
0.004815 1636 1017 12 1
0.008326 1507 1019 0 3
