time files tags numtags
0.07247 93349 1272 4
0.197954 93646 1274 7
0.196213 93915 1275 11
0.079506 94537 1280 3
0.220516 96529 1283 9
0.124904 96949 1284 6
0.105147 98255 1288 5
0.057142 98486 1289 3
0.147038 98989 1290 13
0.193253 99283 1292 11
0.092876 291 1002 8
0.060631 653 1004 3
0.152109 2285 1010 10
0.139922 2545 1011 10
0.229266 3715 1013 14
0.079828 4323 1016 7
0.178678 4629 1017 10
0.071827 6514 1021 3
0.139262 7645 1025 9
0.121165 8085 1027 9
0.101484 8120 1028 7
0.164046 9763 1030 7
0.07792 10424 1032 7
0.11499 10830 1034 7
0.162001 11867 1037 6
0.16205 12639 1040 11
0.146504 12912 1042 8
0.190101 13702 1043 5
0.153243 16259 1051 10
0.152053 17260 1053 9
0.101195 17783 1054 7
0.159779 18113 1055 6
0.180643 18299 1057 7
0.325972 18762 1058 17
0.089262 18891 1059 8
0.109451 19585 1061 4
0.101905 21813 1068 9
0.198978 22071 1069 14
0.236934 23351 1075 9
0.064179 24047 1077 6
0.075159 26496 1083 4
0.169941 26658 1085 11
0.268155 27043 1086 14
0.192377 27389 1088 9
0.171028 31283 1096 6
0.139812 31297 1097 8
0.343509 31608 1099 11
0.125926 32109 1101 7
0.112248 33016 1105 5
0.148808 34889 1109 11
0.083623 35159 1110 6
0.188225 35777 1113 9
0.135947 36196 1116 8
0.101832 37652 1118 5
0.094016 38321 1120 5
0.142442 40371 1126 8
0.172855 41559 1128 10
0.138766 42181 1130 8
0.165854 43525 1134 13
0.091798 45276 1138 8
0.127954 45298 1139 10
0.163493 46594 1140 9
0.081696 46859 1141 5
0.087408 47316 1143 7
0.071101 48391 1147 1
0.166423 48686 1150 6
0.217068 51232 1153 14
0.115305 52110 1158 9
0.222136 52134 1159 3
0.194644 53610 1163 12
0.150173 54800 1168 9
0.193877 55657 1169 11
0.071542 56465 1173 2
0.243898 57281 1176 11
0.171706 58393 1181 9
0.251074 59332 1183 7
0.071162 60787 1187 6
0.111246 62159 1191 6
0.111922 62718 1194 7
0.107827 63666 1195 6
0.128649 64048 1196 6
0.060672 64749 1199 4
0.272419 67613 1205 12
0.072705 67855 1206 4
0.110888 68279 1208 7
0.080619 69938 1216 7
0.074001 72357 1223 4
0.075869 74081 1228 6
0.188925 74451 1230 10
0.100882 75274 1233 9
0.058296 75465 1234 1
0.055849 75664 1235 3
0.155397 77362 1239 10
0.104559 77773 1242 2
0.053898 78091 1244 4
0.207049 78268 1246 14
0.125586 80636 1252 11
0.162798 83826 1260 10
0.12541 86041 1263 5
0.113962 87034 1264 3
0.100962 87272 1265 7
0.086082 87503 1267 5
0.17701 87856 1269 12
0.123375 88735 1271 9
0.130301 88921 1273 2
0.123822 89905 1279 6
0.159124 90211 1280 7
0.352486 90817 1282 12
0.335353 91572 1285 8
0.123691 91589 1286 10
0.230667 91641 1287 10
0.059447 92051 1289 4
0.147883 92217 1290 9
0.210803 92431 1291 11
0.056061 93272 1295 2
0.127388 93467 1296 2
0.390064 95131 1299 10
0.184493 95249 1300 14
0.217514 97783 1306 10
0.082371 98522 1308 6
0.088678 99116 1309 6
0.116694 99470 1311 6
0.125953 2364 1006 8
0.149477 2942 1007 9
0.09104 3812 1011 7
0.103078 4070 1013 6
0.209807 4471 1015 13
0.059219 4616 1016 4
0.102505 6140 1021 10
0.122357 6599 1022 8
0.112636 9217 1031 10
0.051885 9391 1032 4
0.070571 10330 1035 5
0.21876 12886 1040 11
0.249847 13715 1042 14
0.117244 18178 1056 5
0.209534 18444 1057 12
0.113465 18448 1058 8
0.183774 20248 1062 8
0.174078 20705 1066 11
0.194997 21945 1069 12
0.178987 23102 1071 9
0.177062 23273 1072 10
0.052338 23441 1073 4
0.17997 25604 1076 10
0.075981 26450 1079 7
0.127233 27142 1081 10
0.090527 27197 1082 7
0.116065 28508 1086 8
0.050001 29901 1089 2
0.074214 29926 1090 6
0.175263 30606 1094 6
0.146507 30839 1095 10
0.107417 30876 1096 6
0.172497 32391 1098 10
0.106551 33934 1102 5
0.173112 36053 1109 10
0.26863 36464 1110 15
0.09583 37192 1112 7
0.121255 37491 1114 8
0.103808 37770 1115 6
0.119541 38846 1120 7
0.093677 41468 1125 5
0.121709 44442 1130 8
0.143525 45004 1134 9
0.155004 45693 1136 9
0.237211 46668 1138 12
0.145249 49775 1145 9
0.158083 49777 1146 7
0.151048 50154 1148 9
0.12895 50474 1151 12
0.104794 51842 1155 6
0.190176 58773 1170 11
0.137551 59532 1173 11
0.108804 60048 1177 6
0.131393 61896 1181 11
0.326273 62133 1182 9
0.170474 62304 1183 5
0.084542 63885 1187 7
0.14843 65134 1191 8
0.16493 66407 1194 9
0.114906 67092 1196 7
0.113832 69233 1200 9
0.06487 70794 1204 5
0.136519 71120 1205 7
0.160916 71296 1206 11
0.209619 71939 1208 11
0.16437 72399 1209 4
0.107803 73849 1211 9
0.154107 74598 1212 12
0.095617 78438 1222 8
0.054607 79515 1227 4
0.180946 79675 1230 3
0.113421 81822 1235 8
0.18579 82726 1236 12
0.117507 82899 1239 10
0.081468 84440 1243 5
0.351518 85621 1248 6
0.1561 86175 1250 8
0.107837 89169 1255 6
0.184046 90059 1259 11
0.193067 90984 1262 4
0.173155 91339 1263 8
0.260977 91413 1264 15
0.117606 93635 1274 9
0.141323 93899 1275 8
0.22909 95240 1279 6
0.109197 96690 1286 4
0.290265 99441 1300 16
0.110145 199 1003 8
0.121411 1230 1006 8
0.062432 5387 1017 1
0.156221 5783 1018 8
0.13097 7119 1020 7
0.095854 8066 1023 6
0.093364 10482 1028 8
0.084339 12562 1039 7
0.056465 13413 1042 2
0.111253 14676 1047 8
0.170838 16600 1056 12
0.096269 19011 1065 5
0.074194 19048 1066 6
0.145997 21912 1075 9
0.159992 21923 1076 10
0.090737 23200 1078 5
0.166417 23379 1079 10
0.230052 25608 1086 9
0.097131 26038 1087 5
0.116495 27916 1093 7
0.045657 28102 1095 3
0.052765 29199 1098 4
0.054266 29485 1099 4
0.118308 31869 1106 6
0.064474 31870 1107 2
0.111954 33054 1109 7
0.092969 33777 1111 8
0.126305 34745 1114 11
0.040437 34840 1115 1
0.080497 34844 1116 7
0.069233 36867 1120 5
0.129564 38339 1124 7
0.115763 40474 1134 6
0.114025 40726 1135 7
0.121939 40813 1136 8
0.125468 42250 1139 11
0.101788 42317 1140 6
0.202049 42634 1141 12
0.125144 45664 1149 7
0.136605 45897 1151 8
0.08293 48545 1155 4
0.105301 49282 1156 8
0.108505 49904 1158 9
0.184489 50184 1160 10
0.096005 50828 1162 5
0.126229 51593 1165 7
0.129139 52090 1170 8
0.17614 52433 1172 12
0.230609 54280 1175 9
0.038823 55055 1178 1
0.09386 56105 1182 9
0.137693 58736 1187 9
0.125092 58831 1188 8
0.140532 60162 1194 8
0.109829 60775 1196 7
0.152419 61193 1198 10
0.108064 61344 1199 9
0.150466 61457 1201 10
0.731275 62282 1204 5
0.100055 62899 1205 9
0.166237 63841 1209 10
0.109945 65981 1215 7
0.111954 67497 1221 9
0.165102 67690 1224 9
0.145227 69274 1232 7
0.130031 70625 1233 8
0.086761 71680 1236 8
0.297412 72821 1238 14
0.122781 75190 1242 11
0.126555 75686 1243 8
0.111024 76457 1244 9
0.16605 78388 1248 11
0.090469 78793 1250 8
0.156792 79274 1252 13
0.083986 79600 1253 7
0.095254 83569 1262 7
0.155029 84520 1267 9
0.210457 85304 1271 11
0.097265 85497 1272 7
0.145125 87061 1280 9
0.103223 87579 1285 7
0.179824 89617 1288 9
0.15538 90197 1290 8
0.083724 91614 1293 7
