time files tags numtags
0.2031 93635 1273 10 
0.187325 93899 1274 5 
0.209641 95240 1278 6 
0.232489 96690 1285 7 
0.304995 99441 1299 12 
0.16349 199 1002 10 
0.111583 1230 1005 0 
0.175962 5387 1016 5 
0.153912 5783 1017 4 
0.253989 7119 1019 10 
0.089505 8066 1022 3 
0.127348 10482 1027 7 
0.145272 12562 1038 7 
0.173081 13413 1041 9 
0.134977 14676 1046 8 
0.164525 16600 1055 11 
0.231294 19011 1064 9 
0.126823 19048 1065 6 
0.217364 21912 1074 8 
0.277795 21923 1075 12 
0.193514 23200 1077 7 
0.293035 23379 1078 9 
0.155758 25608 1085 7 
0.28709 26038 1086 12 
0.281288 27916 1092 13 
0.111152 28102 1094 4 
0.130025 29199 1097 7 
0.104213 29485 1098 3 
0.20097 31869 1105 7 
0.19247 31870 1106 6 
0.223733 33054 1108 7 
0.175709 33777 1110 10 
0.183564 34745 1113 10 
0.141064 34840 1114 7 
0.208273 34844 1115 13 
0.191174 36867 1119 9 
0.182987 38339 1123 10 
0.190501 40474 1133 6 
0.149793 40726 1134 9 
0.247082 40813 1135 10 
0.202869 42250 1138 10 
0.166996 42317 1139 5 
0.32956 42634 1140 14 
0.199233 45664 1148 6 
0.196349 45897 1150 2 
0.209024 48545 1154 7 
0.145085 49282 1155 5 
0.157286 49904 1157 9 
0.178226 50184 1159 6 
0.226397 50828 1161 11 
0.175222 51593 1164 4 
0.252288 52090 1169 11 
0.225783 52433 1171 9 
0.191088 54280 1174 7 
0.18019 55055 1177 12 
0.116798 56105 1181 6 
0.231128 58736 1186 9 
0.175531 58831 1187 5 
0.269514 60162 1193 12 
0.181783 60775 1195 6 
0.286595 61193 1197 12 
0.096213 61344 1198 2 
0.137546 61457 1200 7 
0.239959 62282 1203 7 
0.151336 62899 1204 9 
0.225149 63841 1208 8 
0.197043 65981 1214 8 
0.223113 67497 1220 15 
0.189984 67690 1223 5 
0.251863 69274 1231 9 
0.27877 70625 1232 12 
0.133381 71680 1235 7 
0.24037 72821 1237 8 
0.182227 75190 1241 12 
0.200132 75686 1242 6 
0.21126 76457 1243 11 
0.214674 78388 1247 6 
0.16131 78793 1249 7 
0.120989 79274 1251 3 
0.154478 79600 1252 10 
0.196929 83569 1261 8 
0.20662 84520 1266 7 
0.271555 85304 1270 10 
0.179346 85497 1271 11 
0.235912 87061 1279 12 
0.121525 87579 1284 3 
0.200114 89617 1287 8 
0.280242 90197 1289 11 
0.094917 91614 1292 2 
0.263466 91628 1293 10 
0.196513 91812 1294 5 
0.187269 91916 1297 9 
0.17459 93283 1299 3 
0.193138 94087 1304 5 
0.29741 94700 1307 12 
0.224921 95318 1309 7 
0.138785 96058 1310 7 
0.170914 97958 1315 6 
0.086128 97969 1316 1 
0.227333 98530 1318 6 
0.156645 99222 1321 9 
0.248889 99299 1323 9 
0.209106 99439 1324 6 
0.20326 118 1001 7 
0.22816 844 1003 10 
0.187766 871 1004 6 
0.227652 2377 1010 9 
0.161629 3361 1012 10 
0.16148 4279 1013 3 
0.183621 4719 1015 9 
0.15481 5865 1017 6 
0.257826 7145 1022 12 
0.256225 8417 1027 9 
0.204324 9093 1030 7 
0.215064 10167 1031 6 
0.152343 10280 1032 7 
0.257967 10506 1033 9 
0.253632 10560 1034 11 
0.168394 11226 1036 11 
0.227695 12402 1038 8 
0.204883 14323 1042 6 
0.230073 16766 1053 9 
0.122929 17127 1054 2 
0.171017 17225 1055 6 
0.206163 17866 1059 9 
0.127868 19527 1062 7 
0.263092 21559 1066 13 
0.154179 21933 1071 9 
0.141732 22390 1072 9 
0.140385 23076 1074 9 
0.244625 23511 1077 13 
0.209123 23851 1080 7 
0.168896 26382 1084 11 
0.139505 27940 1089 9 
0.252779 28042 1090 9 
0.171003 30350 1100 10 
0.165999 30515 1101 4 
0.21731 31537 1103 9 
0.190086 33342 1107 5 
0.217377 36451 1115 9 
0.081613 36547 1116 1 
0.167104 36578 1117 4 
0.263393 36711 1118 9 
0.231799 40574 1128 16 
0.146849 41408 1132 9 
0.10964 41999 1134 4 
0.185708 42008 1135 6 
0.199267 43012 1141 11 
0.208964 43081 1142 7 
0.296956 44399 1146 13 
0.12569 47011 1154 6 
0.157667 48391 1157 9 
0.19012 48435 1158 12 
0.190444 48661 1159 12 
0.304282 50436 1166 11 
0.163412 51960 1170 3 
0.182705 52473 1171 6 
0.095849 53124 1173 3 
0.13464 53440 1174 8 
0.143655 54007 1176 9 
0.205055 55507 1178 7 
0.091928 57362 1181 3 
0.238187 57406 1182 9 
0.248624 57606 1183 11 
0.202452 58108 1184 7 
0.152823 58308 1185 10 
0.126813 58361 1186 3 
0.16188 60517 1190 10 
0.23482 62508 1194 10 
0.10411 62745 1195 3 
0.090904 63121 1196 2 
0.255987 63457 1200 10 
0.39484 63518 1201 9 
0.164114 64172 1203 6 
0.202818 64218 1204 9 
0.229886 64493 1205 8 
0.210768 64968 1206 14 
0.137119 64993 1207 2 
0.249585 65781 1208 8 
0.265897 66164 1211 11 
0.231667 68366 1218 9 
0.22206 70720 1224 13 
0.148109 71322 1226 9 
0.1631 72426 1228 8 
0.160372 73184 1231 4 
0.24814 73397 1232 10 
0.204664 75710 1236 13 
0.222217 76657 1240 8 
0.178355 78044 1244 6 
0.230319 80486 1248 9 
0.258985 80997 1249 10 
0.106619 81035 1250 4 
0.211898 81165 1252 5 
0.231878 81979 1255 9 
0.228699 82296 1256 7 
0.295025 83573 1259 11 
0.215147 84488 1264 8 
0.181092 86114 1266 10 
0.256257 87344 1268 10 
0.13683 91059 1273 8 
0.144702 91869 1274 9 
0.121469 92042 1275 6 
0.124092 92958 1278 7 
0.18125 93085 1280 10 
0.128534 93145 1281 5 
0.139013 93163 1282 8 
0.24914 93224 1284 10 
0.198307 94738 1285 7 
0.128113 95530 1289 7 
0.171966 95708 1290 10 
0.321921 95937 1293 11 
0.186347 97175 1297 9 
0.231571 97343 1298 5 
0.156103 3921 1013 2 
0.192506 4884 1016 6 
0.14814 5908 1018 3 
0.19646 8917 1023 12 
0.193876 10074 1024 7 
0.296186 11225 1027 12 
0.124459 11468 1028 8 
0.185624 11858 1029 7 
0.22062 14508 1035 9 
0.282581 14920 1038 10 
0.086284 15034 1039 0 
0.24886 16378 1043 8 
0.30484 16885 1045 12 
0.314737 17070 1046 12 
0.329929 18341 1051 14 
0.316123 19396 1055 12 
0.337506 20443 1059 15 
0.211738 21123 1062 9 
0.162562 21491 1064 10 
0.537127 22452 1067 8 
0.292124 22559 1069 8 
0.155165 24112 1076 9 
0.141947 24944 1077 9 
0.197047 27877 1087 6 
0.127392 29812 1092 8 
0.156339 30838 1096 8 
0.244861 31113 1097 13 
0.196377 32446 1103 7 
0.179395 32448 1104 6 
0.174287 32887 1107 6 
0.241194 34587 1112 9 
0.174774 39133 1122 11 
0.17508 39507 1123 4 
0.135153 40477 1125 8 
0.15113 41387 1129 2 
0.093169 41769 1130 3 
0.1561 44745 1140 3 
0.178697 47895 1149 6 
0.170634 47969 1150 11 
0.268636 49343 1151 11 
0.176904 49970 1154 8 
0.177685 49987 1155 4 
0.095954 50417 1157 4 
0.190124 50646 1158 12 
0.355244 50961 1161 9 
0.098317 52067 1165 3 
0.465455 52114 1166 9 
0.178502 52587 1168 11 
0.229895 53839 1173 8 
0.20056 54797 1177 8 
0.154973 56230 1181 9 
0.307387 56607 1182 12 
0.158832 56637 1183 3 
0.264461 57082 1185 7 
0.136207 57870 1189 7 
0.154973 58494 1191 8 
0.264516 60311 1194 12 
0.165824 63888 1202 8 
0.154227 64007 1204 11 
0.192196 66499 1210 13 
0.384388 66576 1211 16 
0.13712 68664 1216 9 
0.2493 72383 1223 10 
0.198827 73884 1226 6 
0.177711 74248 1229 12 
0.133793 75224 1231 8 
0.111157 75315 1232 4 
0.292635 75889 1234 10 
0.198197 77218 1237 13 
0.152651 78225 1240 9 
0.13256 79512 1246 8 
0.177131 82438 1253 11 
0.191854 83063 1255 13 
0.214735 83847 1258 15 
0.120812 83872 1259 6 
0.160416 84486 1262 7 
0.191087 86393 1268 6 
0.129119 87284 1273 8 
0.163782 89432 1279 10 
0.170976 91509 1286 4 
0.161514 93127 1291 5 
0.128929 94302 1296 7 
0.127043 95738 1300 7 
0.149094 95995 1302 6 
0.189373 97329 1304 11 
0.173378 97559 1305 10 
0.22682 98163 1306 8 
0.153589 1765 1020 7 
0.172555 2441 1031 11 
0.204596 2693 1038 6 
0.354822 2874 1042 15 
0.218679 3343 1050 8 
0.220087 3346 1051 7 
0.197076 3418 1053 6 
0.208209 6079 1093 7 
0.112858 6490 1100 4 
0.148976 7187 1111 5 
0.167709 9548 1151 5 
0.190391 9815 1155 9 
0.304337 10355 1166 6 
0.192539 11750 1180 5 
23.7334 11890 1184 8 
0.196964 13380 1210 11 
0.165529 13451 1211 10 
0.114968 13715 1216 0 
0.175668 15012 1233 10 
0.123212 15965 1242 0 
0.11213 16622 1256 5 
0.260668 18230 1286 12 
0.183504 18576 1294 6 
0.267651 18813 1300 18 
0.137328 19994 1316 5 
0.201705 21606 1341 7 
0.202423 21949 1347 11 
0.204793 22902 1359 8 
0.184569 23350 1364 9 
0.160006 23637 1370 11 
0.175286 25893 1402 5 
0.135738 25924 1405 7 
0.193273 25947 1406 6 
0.148087 26185 1413 9 
0.125997 26380 1414 6 
0.182785 27043 1422 9 
0.208058 28527 1442 8 
0.116431 736 1006 6 
0.12304 1636 1016 7 
0.135959 1507 1018 8 
0.116201 1524 1019 6 
0.161628 1798 1024 10 
0.232771 2249 1029 9 
0.233434 2500 1033 12 
0.226042 4128 1056 10 
0.197995 4166 1058 11 
0.23336 5121 1070 7 
0.355977 5927 1081 10 
0.185616 6194 1084 6 
0.166958 8776 1116 5 
0.163195 9611 1133 9 
0.250837 10099 1136 10 
0.187717 12197 1161 5 
0.280389 12415 1167 11 
0.177477 15259 1220 6 
0.109703 17530 1251 1 
0.157795 17939 1255 2 
0.275492 19341 1273 11 
0.136193 19840 1282 6 
0.141645 20139 1287 7 
0.139807 23035 1327 6 
0.146236 26418 1381 8 
0.186994 26559 1383 5 
0.299126 26703 1384 12 
0.246699 27042 1392 6 
0.199272 28142 1413 12 
0.188611 29114 1430 12 
0.25248 29762 1441 9 
0.201418 31137 1456 5 
0.257188 31163 1457 7 
0.233112 33450 1486 5 
0.260288 33763 1488 10 
0.247518 34251 1496 8 
0.185967 35249 1511 11 
0.148185 35416 1513 9 
0.113889 36165 1523 6 
0.218128 37240 1534 15 
0.347005 38542 1548 11 
0.142881 40252 1574 9 
0.192682 41255 1585 6 
0.43674 41320 1586 8 
0.151447 43542 1619 7 
0.206677 43553 1620 7 
0.146334 44193 1625 9 
0.176963 44337 1627 6 
0.228199 44391 1629 9 
0.183677 44533 1630 10 
0.205607 46306 1661 8 
