time files tags associatedfiles
0.510136 61320 2256 39 
0.021968 61681 2266 1 
0.744002 62046 2277 58 
0.019156 63122 2308 1 
0.057359 64764 2355 3 
11.4521 69380 2487 879 
0.562253 69453 2489 42 
0.071614 70689 2525 5 
0.625555 70716 2525 49 
0.147404 70873 2530 11 
0.217349 71196 2539 16 
0.374221 71591 2550 28 
0.719671 72602 2579 55 
0.950725 74597 2637 63 
0.261638 74778 2642 20 
0.059765 76000 2677 4 
0.302223 76442 2690 22 
0.196317 76576 2694 14 
0.04898 77229 2712 3 
13.019 77713 2726 983 
0.640049 77737 2727 48 
0.033693 78247 2741 2 
0.056698 79173 2768 4 
0.005063 79390 2774 0 
0.021173 81335 2830 1 
0.440805 81942 2848 34 
0.314248 84114 2910 23 
0.111371 84426 2919 7 
0.087873 85237 2942 6 
0.157147 86604 2981 12 
0.162942 87641 3011 12 
0.311804 88204 3027 23 
0.060783 88653 3040 4 
0.333069 90288 3087 25 
1.40349 91656 3126 83 
0.045686 92041 3137 2 
0.338147 93824 3188 25 
0.191307 95730 3243 14 
0.045268 97834 3303 3 
0.36658 98756 3330 27 
0.045567 101526 3409 3 
0.571548 101802 3417 44 
1.30914 103279 3460 104 
0.374741 103297 3460 28 
0.415462 104578 3497 26 
0.693087 104822 3504 49 
0.111 105046 3510 8 
0.032968 106465 3551 2 
17.7737 106566 3554 1287 
0.677042 106833 3562 52 
0.019964 108758 3617 1 
0.092833 109164 3629 6 
0.023033 109400 3636 1 
1.28405 109657 3643 94 
0.047499 109831 3648 3 
0.238523 109866 3649 16 
0.378589 109880 3650 29 
0.420833 111163 3686 31 
0.273629 111515 3697 20 
18.1227 111921 3708 1352 
0.583751 113748 3761 44 
0.094369 115876 3822 7 
1.44625 116708 3846 85 
0.128389 116942 3853 7 
0.366357 117448 3867 21 
0.412288 119247 3919 31 
20.634 120577 3957 1510 
0.244263 120662 3960 19 
1.31457 121746 3991 100 
0.078042 122909 4024 6 
0.703833 123333 4036 54 
0.12418 124809 4079 9 
0.745949 127939 4169 59 
26.8256 128364 4181 1530 
0.777307 128748 4192 37 
0.110447 132091 4289 8 
0.36309 133185 4320 26 
0.074023 134482 4358 5 
0.241106 135502 4387 15 
0.368721 137363 4441 29 
0.248286 140243 4523 18 
0.492162 145680 4680 22 
0.458155 147768 4741 32 
0.200956 149450 4789 14 
0.00527 150623 4823 0 
0.208503 151091 4836 15 
0.413241 151273 4842 19 
1.76205 153261 4899 139 
0.168114 154970 4948 12 
1.50866 160824 5001 91 
0.10134 162272 5001 7 
1.65304 162327 5001 90 
0.144827 163717 5001 10 
0.301554 164550 5001 22 
0.5177 165491 5001 30 
0.276918 165812 5001 20 
